Z+1,hybrid_coef_A,hybrid_coef_B
0,0.0,0.0
1,2718.281829,0.0
2,3747.089291,0.0
3,4915.58716,0.0
4,6184.629456,0.0
5,7511.826567000001,0.0
6,8869.101344,0.0
7,10030.304356,0.0020808742
8,10981.652856,0.0063342307
9,11785.441359,0.0121732181
10,12467.115388,0.0193986154
11,13036.9966,0.0278371306
12,13504.534974,0.0373529653
13,13878.638941999998,0.047842939
14,14167.467732,0.0592352126
15,14378.164792999998,0.0714873482
16,14516.624747,0.0845746582
17,14587.358345000002,0.0983741718
18,14595.755313,0.1128383503
19,14546.696521,0.1279315334
20,14444.613314000002,0.14361854
21,14293.673022,0.1598595007
22,14097.987345000001,0.1766044735
23,13861.830406,0.1937879788
24,13589.853257000002,0.2113235966
25,13287.281608000001,0.2290987842
26,12960.083871,0.2469701004
27,12612.25171,0.2649022016
28,12247.287675,0.2828675957
29,11868.24584,0.3008456607
30,11477.7789,0.3188216081
31,11078.188746,0.3367854211
32,10671.478183,0.3547307961
33,10259.401904,0.372654106
34,9843.515363,0.3905533994
35,9425.220462,0.4084274461
36,9005.8073,0.4262748343
37,8586.491397,0.4440931265
38,8168.695589,0.4618674416
39,7753.760646999999,0.4795830255
40,7342.954608999999,0.49722498
41,6937.480580000001,0.5147780123
42,6538.483021,0.5322262004
43,6147.052425,0.5495527773
44,5764.228347,0.5667399335
45,5391.000788,0.5837686388
46,5028.309984,0.6006184839
47,4677.04468,0.6172675404
48,4338.03901,0.6336922407
49,4012.0682330000004,0.6498672716
50,3699.843282,0.6657654933
51,3402.0047480000003,0.6813578657
52,3119.007629,0.696619345
53,2851.141239,0.711528319
54,2598.537627,0.7260667007
55,2361.182186,0.7402199922
56,2138.926037,0.7539773233
57,1931.499783,0.7673314668
58,1738.528216,0.780278834
59,1559.545611,0.7928194542
60,1394.01124,0.804956941
61,1241.32489,0.8166984434
62,1100.841912,0.8280546004
63,971.8879119999999,0.839039477
64,853.7727,0.849670505
65,746.106511,0.8599386316
66,648.446293,0.869836944
67,560.305239,0.8793606592
68,481.162282,0.8885071083
69,410.471379,0.8972757162
70,347.670445,0.9056679778
71,292.189811,0.9136874321
72,243.460098,0.9213396338
73,200.919421,0.9286321259
74,164.01988,0.9355744104
75,132.23327,0.9421779224
76,105.05605,0.948455999
77,82.013496,0.9544238611
78,62.74483200000001,0.960072977
79,46.885714,0.9653949126
80,34.071514,0.9703813221
81,23.940739,0.9750239392
82,16.138537,0.9793145669
83,10.320302,0.9832450676
84,6.155336,0.9868073535
85,3.330576,0.9899933762
86,1.554347,0.9927951169
87,0.56013,0.9952045769
88,0.110328,0.9972137692
89,0.0,0.9988147073
90,0.0,1.0
